name,instance,type,image_id,metric,low,high,ave,median,launch_time
PROD_FLIR_BRIEFCAM_PU_ASG_C5_W12_QueueB,i-059fd3bcdc42aa4d7,c5.2xlarge,xen,hvm,x86_64,False,ami-0c66c69dacb11832a,Briefcam_WIN12,CPUUtilization,3.0,3.0,3.0,3.0,2019-02-04 11:55:51+00:00,subnet-c250b59b,vpc-72ce1417
CASSANDRA,i-01437ede62579c304,c3.4xlarge,xen,hvm,x86_64,True,ami-64111e73,,CPUUtilization,42.947916667908402,57.270833334575102,49.649999999999999,50.1041666666667,2017-01-23 09:55:35+00:00,,
DATASERVICE-V2,i-0884d3190123e6703,m5.large,xen,hvm,x86_64,True,ami-76447d0c,,CPUUtilization,4.0,19.0,5.0099999999999998,4.0,2018-08-28 09:25:13+00:00,subnet-260f6142,vpc-e4c4a49c
UNIFIER,i-0f284a4e231557404,m5.large,xen,hvm,x86_64,True,ami-76447d0c,,CPUUtilization,2.0,3.0,2.1800000000000002,2.0,2019-01-22 01:09:53+00:00,subnet-260f6142,vpc-e4c4a49c
P2P,i-0b64c4c6bbb8d176c,m3.large,xen,hvm,x86_64,False,ami-76447d0c,,CPUUtilization,43.833333334575102,68.833333334575102,55.93,56.333333334575102,2018-07-27 01:25:26+00:00,subnet-ab20ecf6,vpc-fdb92d85
SYSACCT,i-026310bac9f7634fa,m3.large,xen,hvm,x86_64,False,ami-64111e73,,CPUUtilization,2.6666666666763699,53.166666666657001,7.7800000000000002,2.7499999999903002,2018-10-29 12:40:36+00:00,,
SIGNALING-FC,i-0bcf957868242166f,m5.large,xen,hvm,x86_64,True,ami-76447d0c,,CPUUtilization,2.0,6.0,2.8500000000000001,3.0,2018-11-27 13:48:50+00:00,subnet-66c91149,vpc-e4c4a49c
WT,i-09bc75f9fb1947b83,m4.large,xen,hvm,x86_64,True,ami-e39f1099,,CPUUtilization,2.0000000000194,57.9166666666667,8.5399999999999991,7.6031420765003901,2019-01-08 16:59:13+00:00,subnet-db2fe4f4,vpc-fdb92d85
P2P,i-0c2dc694b19534ee5,m3.large,xen,hvm,x86_64,False,ami-e39f1099,,CPUUtilization,50.166666669150203,75.166666669150203,63.43,64.416666670392004,2017-11-21 19:31:07+00:00,subnet-db2fe4f4,vpc-fdb92d85
PLATFORM-V2,i-07013ad16e0207d17,c5.xlarge,xen,hvm,x86_64,False,ami-76447d0c,,CPUUtilization,53.0,74.0,62.310000000000002,61.0,2018-12-24 09:02:52+00:00,subnet-ad3ff3f0,vpc-fdb92d85
PLATFORM-V2,i-034efebae38283149,c5.xlarge,xen,hvm,x86_64,False,ami-76447d0c,,CPUUtilization,59.0,76.0,66.25,66.0,2018-12-24 09:02:52+00:00,subnet-ad3ff3f0,vpc-fdb92d85
OSNACCT,i-0144df52083e3acfc,m5.xlarge,xen,hvm,x86_64,True,ami-76447d0c,,CPUUtilization,5.0,41.0,9.0399999999999991,8.0,2019-02-03 13:39:15+00:00,subnet-ad3ff3f0,vpc-fdb92d85
WT,i-016b8f853ebacf845,m4.large,xen,hvm,x86_64,True,ami-e39f1099,,CPUUtilization,2.0000000001164202,45.0,10.1,7.5416666667054706,2018-09-06 13:39:28+00:00,subnet-b392f7d7,vpc-fdb92d85
